Unnamed: 0,link post,date,post id,Cluster,entity,x,y,sentiment,sentiment_overall,sentiment_weight,text,likes,impressions,comments,shares,saved,reach,video_views,plays,replies,interactions,engagement_rate
0,https://www.instagram.com/p/Cpwb6Rnuy0a/,2023-03-14,6410028bceec3e7b0828c5ba,1,to,-27.92858,7.748984,"{'neutral': 0.95624840259552, 'positive': 0.03670269250869751, 'negative': 0.0070489500649273396}",neutral,0.95624840259552,"Industri Kripto terancam ambruk pasca keruntuhan dua bank yang 'paling bersahabat dengan sektor crypto' serta satu bank raksasa yang melayani klien startup teknologi dalam waktu kurang dari seminggu. 

Bank tersebut adalah Silvergate Capital, Signature Bank dan Silicon Valley Bank (SVB).

Signature dan Silvergate adalah dua bank utama untuk perusahaan crypto, dan hampir setengah dari semua usaha startup yang didukung AS menyimpan dana di Silicon Valley Bank. Termasuk dana modal ventura ramah crypto dan beberapa perusahaan aset digital.

Ketidakstabilan sekali lagi menunjukkan kerentanan stablecoin, yakni salah satu jenis aset kripto yang dirancang untuk dilindungi dari volatilitas harga yang terjadi. 

Baca artikel selengkapnya di cnbcindonesia.com (klik link di bio)
---
#pasarkripto #kripto #crypto #industrikripto #startup #startupteknologi",252,70,6,0,24,70,0,0,0,282,403.0
1,https://www.instagram.com/p/Cpwb6Rnuy0a/,2023-03-14,6410028bceec3e7b0828c5ba,1,silvergatecapital,-27.92858,7.748984,"{'neutral': 0.95624840259552, 'positive': 0.03670269250869751, 'negative': 0.0070489500649273396}",neutral,0.95624840259552,"Industri Kripto terancam ambruk pasca keruntuhan dua bank yang 'paling bersahabat dengan sektor crypto' serta satu bank raksasa yang melayani klien startup teknologi dalam waktu kurang dari seminggu. 

Bank tersebut adalah Silvergate Capital, Signature Bank dan Silicon Valley Bank (SVB).

Signature dan Silvergate adalah dua bank utama untuk perusahaan crypto, dan hampir setengah dari semua usaha startup yang didukung AS menyimpan dana di Silicon Valley Bank. Termasuk dana modal ventura ramah crypto dan beberapa perusahaan aset digital.

Ketidakstabilan sekali lagi menunjukkan kerentanan stablecoin, yakni salah satu jenis aset kripto yang dirancang untuk dilindungi dari volatilitas harga yang terjadi. 

Baca artikel selengkapnya di cnbcindonesia.com (klik link di bio)
---
#pasarkripto #kripto #crypto #industrikripto #startup #startupteknologi",252,70,6,0,24,70,0,0,0,282,403.0
2,https://www.instagram.com/p/Cpwb6Rnuy0a/,2023-03-14,6410028bceec3e7b0828c5ba,1,signaturebank,-27.92858,7.748984,"{'neutral': 0.95624840259552, 'positive': 0.03670269250869751, 'negative': 0.0070489500649273396}",neutral,0.95624840259552,"Industri Kripto terancam ambruk pasca keruntuhan dua bank yang 'paling bersahabat dengan sektor crypto' serta satu bank raksasa yang melayani klien startup teknologi dalam waktu kurang dari seminggu. 

Bank tersebut adalah Silvergate Capital, Signature Bank dan Silicon Valley Bank (SVB).

Signature dan Silvergate adalah dua bank utama untuk perusahaan crypto, dan hampir setengah dari semua usaha startup yang didukung AS menyimpan dana di Silicon Valley Bank. Termasuk dana modal ventura ramah crypto dan beberapa perusahaan aset digital.

Ketidakstabilan sekali lagi menunjukkan kerentanan stablecoin, yakni salah satu jenis aset kripto yang dirancang untuk dilindungi dari volatilitas harga yang terjadi. 

Baca artikel selengkapnya di cnbcindonesia.com (klik link di bio)
---
#pasarkripto #kripto #crypto #industrikripto #startup #startupteknologi",252,70,6,0,24,70,0,0,0,282,403.0
3,https://www.instagram.com/p/Cpwb6Rnuy0a/,2023-03-14,6410028bceec3e7b0828c5ba,1,siliconvalleybank,-27.92858,7.748984,"{'neutral': 0.95624840259552, 'positive': 0.03670269250869751, 'negative': 0.0070489500649273396}",neutral,0.95624840259552,"Industri Kripto terancam ambruk pasca keruntuhan dua bank yang 'paling bersahabat dengan sektor crypto' serta satu bank raksasa yang melayani klien startup teknologi dalam waktu kurang dari seminggu. 

Bank tersebut adalah Silvergate Capital, Signature Bank dan Silicon Valley Bank (SVB).

Signature dan Silvergate adalah dua bank utama untuk perusahaan crypto, dan hampir setengah dari semua usaha startup yang didukung AS menyimpan dana di Silicon Valley Bank. Termasuk dana modal ventura ramah crypto dan beberapa perusahaan aset digital.

Ketidakstabilan sekali lagi menunjukkan kerentanan stablecoin, yakni salah satu jenis aset kripto yang dirancang untuk dilindungi dari volatilitas harga yang terjadi. 

Baca artikel selengkapnya di cnbcindonesia.com (klik link di bio)
---
#pasarkripto #kripto #crypto #industrikripto #startup #startupteknologi",252,70,6,0,24,70,0,0,0,282,403.0
4,https://www.instagram.com/p/Cpwb6Rnuy0a/,2023-03-14,6410028bceec3e7b0828c5ba,1,svb,-27.92858,7.748984,"{'neutral': 0.95624840259552, 'positive': 0.03670269250869751, 'negative': 0.0070489500649273396}",neutral,0.95624840259552,"Industri Kripto terancam ambruk pasca keruntuhan dua bank yang 'paling bersahabat dengan sektor crypto' serta satu bank raksasa yang melayani klien startup teknologi dalam waktu kurang dari seminggu. 

Bank tersebut adalah Silvergate Capital, Signature Bank dan Silicon Valley Bank (SVB).

Signature dan Silvergate adalah dua bank utama untuk perusahaan crypto, dan hampir setengah dari semua usaha startup yang didukung AS menyimpan dana di Silicon Valley Bank. Termasuk dana modal ventura ramah crypto dan beberapa perusahaan aset digital.

Ketidakstabilan sekali lagi menunjukkan kerentanan stablecoin, yakni salah satu jenis aset kripto yang dirancang untuk dilindungi dari volatilitas harga yang terjadi. 

Baca artikel selengkapnya di cnbcindonesia.com (klik link di bio)
---
#pasarkripto #kripto #crypto #industrikripto #startup #startupteknologi",252,70,6,0,24,70,0,0,0,282,403.0
5,https://www.instagram.com/p/Cpwb6Rnuy0a/,2023-03-14,6410028bceec3e7b0828c5ba,1,silvergate,-27.92858,7.748984,"{'neutral': 0.95624840259552, 'positive': 0.03670269250869751, 'negative': 0.0070489500649273396}",neutral,0.95624840259552,"Industri Kripto terancam ambruk pasca keruntuhan dua bank yang 'paling bersahabat dengan sektor crypto' serta satu bank raksasa yang melayani klien startup teknologi dalam waktu kurang dari seminggu. 

Bank tersebut adalah Silvergate Capital, Signature Bank dan Silicon Valley Bank (SVB).

Signature dan Silvergate adalah dua bank utama untuk perusahaan crypto, dan hampir setengah dari semua usaha startup yang didukung AS menyimpan dana di Silicon Valley Bank. Termasuk dana modal ventura ramah crypto dan beberapa perusahaan aset digital.

Ketidakstabilan sekali lagi menunjukkan kerentanan stablecoin, yakni salah satu jenis aset kripto yang dirancang untuk dilindungi dari volatilitas harga yang terjadi. 

Baca artikel selengkapnya di cnbcindonesia.com (klik link di bio)
---
#pasarkripto #kripto #crypto #industrikripto #startup #startupteknologi",252,70,6,0,24,70,0,0,0,282,403.0
6,https://www.instagram.com/p/Cpwb6Rnuy0a/,2023-03-14,6410028bceec3e7b0828c5ba,1,crypto,-27.92858,7.748984,"{'neutral': 0.95624840259552, 'positive': 0.03670269250869751, 'negative': 0.0070489500649273396}",neutral,0.95624840259552,"Industri Kripto terancam ambruk pasca keruntuhan dua bank yang 'paling bersahabat dengan sektor crypto' serta satu bank raksasa yang melayani klien startup teknologi dalam waktu kurang dari seminggu. 

Bank tersebut adalah Silvergate Capital, Signature Bank dan Silicon Valley Bank (SVB).

Signature dan Silvergate adalah dua bank utama untuk perusahaan crypto, dan hampir setengah dari semua usaha startup yang didukung AS menyimpan dana di Silicon Valley Bank. Termasuk dana modal ventura ramah crypto dan beberapa perusahaan aset digital.

Ketidakstabilan sekali lagi menunjukkan kerentanan stablecoin, yakni salah satu jenis aset kripto yang dirancang untuk dilindungi dari volatilitas harga yang terjadi. 

Baca artikel selengkapnya di cnbcindonesia.com (klik link di bio)
---
#pasarkripto #kripto #crypto #industrikripto #startup #startupteknologi",252,70,6,0,24,70,0,0,0,282,403.0
7,https://www.instagram.com/p/Cpwb6Rnuy0a/,2023-03-14,6410028bceec3e7b0828c5ba,1,siliconvalleybank,-27.92858,7.748984,"{'neutral': 0.95624840259552, 'positive': 0.03670269250869751, 'negative': 0.0070489500649273396}",neutral,0.95624840259552,"Industri Kripto terancam ambruk pasca keruntuhan dua bank yang 'paling bersahabat dengan sektor crypto' serta satu bank raksasa yang melayani klien startup teknologi dalam waktu kurang dari seminggu. 

Bank tersebut adalah Silvergate Capital, Signature Bank dan Silicon Valley Bank (SVB).

Signature dan Silvergate adalah dua bank utama untuk perusahaan crypto, dan hampir setengah dari semua usaha startup yang didukung AS menyimpan dana di Silicon Valley Bank. Termasuk dana modal ventura ramah crypto dan beberapa perusahaan aset digital.

Ketidakstabilan sekali lagi menunjukkan kerentanan stablecoin, yakni salah satu jenis aset kripto yang dirancang untuk dilindungi dari volatilitas harga yang terjadi. 

Baca artikel selengkapnya di cnbcindonesia.com (klik link di bio)
---
#pasarkripto #kripto #crypto #industrikripto #startup #startupteknologi",252,70,6,0,24,70,0,0,0,282,403.0
8,https://www.instagram.com/p/Cpwb6Rnuy0a/,2023-03-14,6410028bceec3e7b0828c5ba,1,crypto,-27.92858,7.748984,"{'neutral': 0.95624840259552, 'positive': 0.03670269250869751, 'negative': 0.0070489500649273396}",neutral,0.95624840259552,"Industri Kripto terancam ambruk pasca keruntuhan dua bank yang 'paling bersahabat dengan sektor crypto' serta satu bank raksasa yang melayani klien startup teknologi dalam waktu kurang dari seminggu. 

Bank tersebut adalah Silvergate Capital, Signature Bank dan Silicon Valley Bank (SVB).

Signature dan Silvergate adalah dua bank utama untuk perusahaan crypto, dan hampir setengah dari semua usaha startup yang didukung AS menyimpan dana di Silicon Valley Bank. Termasuk dana modal ventura ramah crypto dan beberapa perusahaan aset digital.

Ketidakstabilan sekali lagi menunjukkan kerentanan stablecoin, yakni salah satu jenis aset kripto yang dirancang untuk dilindungi dari volatilitas harga yang terjadi. 

Baca artikel selengkapnya di cnbcindonesia.com (klik link di bio)
---
#pasarkripto #kripto #crypto #industrikripto #startup #startupteknologi",252,70,6,0,24,70,0,0,0,282,403.0
9,https://www.instagram.com/p/Cpwb6Rnuy0a/,2023-03-14,6410028bceec3e7b0828c5ba,1,bacaartikel,-27.92858,7.748984,"{'neutral': 0.95624840259552, 'positive': 0.03670269250869751, 'negative': 0.0070489500649273396}",neutral,0.95624840259552,"Industri Kripto terancam ambruk pasca keruntuhan dua bank yang 'paling bersahabat dengan sektor crypto' serta satu bank raksasa yang melayani klien startup teknologi dalam waktu kurang dari seminggu. 

Bank tersebut adalah Silvergate Capital, Signature Bank dan Silicon Valley Bank (SVB).

Signature dan Silvergate adalah dua bank utama untuk perusahaan crypto, dan hampir setengah dari semua usaha startup yang didukung AS menyimpan dana di Silicon Valley Bank. Termasuk dana modal ventura ramah crypto dan beberapa perusahaan aset digital.

Ketidakstabilan sekali lagi menunjukkan kerentanan stablecoin, yakni salah satu jenis aset kripto yang dirancang untuk dilindungi dari volatilitas harga yang terjadi. 

Baca artikel selengkapnya di cnbcindonesia.com (klik link di bio)
---
#pasarkripto #kripto #crypto #industrikripto #startup #startupteknologi",252,70,6,0,24,70,0,0,0,282,403.0
